trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20101013,399300.SZ,20101013,3217.577,3176.886,3221.646,3165.578,3172.726,44.851,1.4136,144607773.0,195444719.896
20101014,399300.SZ,20101014,3224.14,3245.133,3286.023,3215.031,3217.577,6.563,0.204,179611838.0,227654458.634
20101015,399300.SZ,20101015,3327.683,3204.723,3327.683,3199.122,3224.14,103.543,3.2115,193414140.0,245619296.303
20101018,399300.SZ,20101018,3306.16,3345.804,3390.015,3288.781,3327.683,-21.523,-0.6468,217882051.0,267884370.339
20101019,399300.SZ,20101019,3375.674,3300.517,3375.867,3279.999,3306.16,69.514,2.1026,130441791.0,165488914.49
20101020,399300.SZ,20101020,3396.879,3304.221,3439.225,3301.009,3375.674,21.205,0.6282,166528460.0,235372057.455
20101021,399300.SZ,20101021,3374.685,3404.721,3418.091,3344.962,3396.879,-22.194,-0.6534,123883245.0,175383712.722
20101022,399300.SZ,20101022,3378.655,3365.597,3408.491,3346.111,3374.685,3.97,0.1176,116361857.0,163153618.542
20101025,399300.SZ,20101025,3481.081,3386.85,3481.347,3366.43,3378.655,102.426,3.0316,145433105.0,208809404.746
20101026,399300.SZ,20101026,3466.084,3491.474,3499.817,3436.463,3481.081,-14.997,-0.4308,142636999.0,205216457.176
20101027,399300.SZ,20101027,3403.872,3451.427,3490.217,3398.095,3466.084,-62.212,-1.7949,123761570.0,177072552.07
20101028,399300.SZ,20101028,3397.692,3390.426,3420.885,3371.439,3403.872,-6.18,-0.1816,98349456.0,141135882.042
20101029,399300.SZ,20101029,3379.983,3400.262,3404.6,3351.601,3397.692,-17.709,-0.5212,100458970.0,145528365.885
20101101,399300.SZ,20101101,3472.995,3390.413,3472.995,3390.413,3379.983,93.012,2.7518,126269148.0,186725762.506
20101102,399300.SZ,20101102,3463.131,3484.232,3522.175,3449.724,3472.995,-9.864,-0.284,154911450.0,233976228.513
20101103,399300.SZ,20101103,3420.341,3462.74,3474.707,3419.08,3463.131,-42.79,-1.2356,126359303.0,178803329.799
20101104,399300.SZ,20101104,3480.505,3426.46,3480.929,3419.643,3420.341,60.164,1.759,116799481.0,164721393.8
20101105,399300.SZ,20101105,3520.798,3538.988,3554.47,3498.276,3480.505,40.293,1.1577,137688027.0,196618041.454
20101108,399300.SZ,20101108,3548.566,3534.191,3549.305,3506.375,3520.798,27.768,0.7887,126470759.0,174067581.795
